Sygnatura czasowa;Podaj p³eæ:;Podaj wiek:;Czy planujesz zmieniæ miejsce zamieszkania w ci¹gu kilku lat?;Jaki jest powód migracji? (wielokrotny wybór);kierunek1:;kierunek2:
25.01.2019 21:44;kobieta;26 - 40 lat;nie;;;
25.01.2019 21:45;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 21:51;kobieta;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);ma³e miasto
25.01.2019 21:52;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
25.01.2019 21:53;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
25.01.2019 21:54;kobieta;26 - 40 lat;nie;;;
25.01.2019 21:55;mê¿czyzna;41 - 55 lat;tak, ale tymczasowo;praca, powody rodzinne;zagraniczny;ma³e miasto
25.01.2019 22:01;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:02;kobieta;26 - 40 lat;nie;;;
25.01.2019 22:02;mê¿czyzna;26 - 40 lat;nie;;;
25.01.2019 22:03;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:05;kobieta;26 - 40 lat;nie;;;
25.01.2019 22:07;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:09;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:12;mê¿czyzna;19 - 25 lat;tak, na sta³e;Miasto Pu³awy to dziora;krajowy (w obrêbie Polski);ma³e miasto
25.01.2019 22:13;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:17;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:18;kobieta;19 - 25 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
25.01.2019 22:20;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., powody rodzinne;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 22:31;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
25.01.2019 22:31;kobieta;19 - 25 lat;tak, ale tymczasowo;Pieni¹dze;zagraniczny;ma³e miasto
25.01.2019 22:35;kobieta;26 - 40 lat;nie;;;
25.01.2019 22:51;kobieta;26 - 40 lat;nie;;;
25.01.2019 22:51;mê¿czyzna;41 - 55 lat;tak, ale tymczasowo;praca;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 23:03;kobieta;19 - 25 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 23:07;kobieta;do 18 lat;nie;;;
25.01.2019 23:08;mê¿czyzna;26 - 40 lat;nie;;;
25.01.2019 23:08;kobieta;26 - 40 lat;nie;;;
25.01.2019 23:12;kobieta;26 - 40 lat;nie;;;
25.01.2019 23:12;mê¿czyzna;19 - 25 lat;nie;;;
25.01.2019 23:20;mê¿czyzna;do 18 lat;nie;;;
25.01.2019 23:25;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 23:26;mê¿czyzna;26 - 40 lat;tak, na sta³e;praca;zagraniczny;du¿e miasto
25.01.2019 23:27;kobieta;41 - 55 lat;nie;;;
25.01.2019 23:28;mê¿czyzna;do 18 lat;nie;;;
25.01.2019 23:29;mê¿czyzna;26 - 40 lat;nie;;;
25.01.2019 23:30;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
25.01.2019 23:39;kobieta;26 - 40 lat;nie;;;
26.01.2019 00:07;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 00:45;kobieta;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 00:51;kobieta;19 - 25 lat;nie;;;
26.01.2019 00:58;kobieta;19 - 25 lat;nie;;;
26.01.2019 01:09;kobieta;26 - 40 lat;nie;;;
26.01.2019 01:34;mê¿czyzna;26 - 40 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 01:43;kobieta;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 02:01;kobieta;26 - 40 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 02:41;kobieta;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 03:08;kobieta;26 - 40 lat;tak, ale tymczasowo;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 03:18;kobieta;26 - 40 lat;nie;;;
26.01.2019 04:42;kobieta;26 - 40 lat;nie;;;
26.01.2019 05:00;kobieta;19 - 25 lat;tak, ale tymczasowo;praca;zagraniczny;ma³e miasto
26.01.2019 06:48;kobieta;19 - 25 lat;nie;;;
26.01.2019 07:09;kobieta;26 - 40 lat;nie;;;
26.01.2019 07:52;kobieta;26 - 40 lat;nie;;;
26.01.2019 07:53;mê¿czyzna;26 - 40 lat;tak, ale tymczasowo;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 07:53;kobieta;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 07:54;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 08:07;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:23;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 08:26;kobieta;41 - 55 lat;nie;;;
26.01.2019 08:27;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:36;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);ma³e miasto
26.01.2019 08:36;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:38;kobieta;19 - 25 lat;tak, na sta³e;praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
26.01.2019 08:38;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:39;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:40;mê¿czyzna;26 - 40 lat;tak, ale tymczasowo;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 08:40;kobieta;26 - 40 lat;tak, ale tymczasowo;powody rodzinne;krajowy (w obrêbie Polski);wieœ
26.01.2019 08:45;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:45;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:53;kobieta;19 - 25 lat;nie;;;
26.01.2019 08:54;kobieta;19 - 25 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 08:55;kobieta;26 - 40 lat;nie;;;
26.01.2019 08:56;kobieta;19 - 25 lat;nie;;;
26.01.2019 08:59;kobieta;do 18 lat;nie;;;
26.01.2019 08:59;mê¿czyzna;26 - 40 lat;tak, ale tymczasowo;praca;zagraniczny;ma³e miasto
26.01.2019 09:01;mê¿czyzna;19 - 25 lat;nie;;;
26.01.2019 09:06;mê¿czyzna;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 09:10;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne, chêæ poznania czegoœ nowego;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 09:10;kobieta;26 - 40 lat;nie;;;
26.01.2019 09:14;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 09:21;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 09:25;kobieta;26 - 40 lat;tak, na sta³e;edukacja, szko³a itd., praca, powody rodzinne;zagraniczny;ma³e miasto
26.01.2019 09:26;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 09:36;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 09:37;kobieta;do 18 lat;tak, na sta³e;praca;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 09:50;mê¿czyzna;26 - 40 lat;tak, ale tymczasowo;praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 09:54;mê¿czyzna;19 - 25 lat;tak, na sta³e;chêæ poznania czegoœ nowego;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 09:57;kobieta;26 - 40 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 10:00;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 10:01;kobieta;26 - 40 lat;tak, ale tymczasowo;praca;zagraniczny;du¿e miasto
26.01.2019 10:04;kobieta;19 - 25 lat;tak, ale tymczasowo;praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 10:11;kobieta;26 - 40 lat;tak, na sta³e;praca;zagraniczny;du¿e miasto
26.01.2019 10:13;mê¿czyzna;41 - 55 lat;tak, na sta³e;powody rodzinne;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 10:13;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 10:15;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 10:24;kobieta;41 - 55 lat;nie;;;
26.01.2019 10:30;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 10:38;kobieta;26 - 40 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);ma³e miasto
26.01.2019 10:47;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 11:24;mê¿czyzna;19 - 25 lat;tak, ale tymczasowo;praca;zagraniczny;du¿e miasto
26.01.2019 11:35;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 11:43;mê¿czyzna;19 - 25 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 11:47;kobieta;41 - 55 lat;nie;;;
26.01.2019 11:48;kobieta;26 - 40 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 11:52;mê¿czyzna;19 - 25 lat;tak, na sta³e;praca;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 12:03;kobieta;19 - 25 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 12:10;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
26.01.2019 12:33;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 12:33;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 12:37;kobieta;26 - 40 lat;nie;;;
26.01.2019 12:42;kobieta;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 12:54;kobieta;19 - 25 lat;nie;;;
26.01.2019 12:56;kobieta;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 12:56;kobieta;26 - 40 lat;tak, na sta³e;praca;zagraniczny;ma³e miasto
26.01.2019 13:18;kobieta;41 - 55 lat;nie;;;
26.01.2019 13:18;mê¿czyzna;powy¿ej 55 lat;nie;;;
26.01.2019 13:23;kobieta;26 - 40 lat;nie;;;
26.01.2019 13:49;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 13:53;kobieta;19 - 25 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 14:07;kobieta;19 - 25 lat;nie;;;
26.01.2019 14:08;kobieta;26 - 40 lat;nie;;;
26.01.2019 14:21;kobieta;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 14:25;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 14:35;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 14:37;mê¿czyzna;do 18 lat;nie;;;
26.01.2019 14:40;kobieta;26 - 40 lat;tak, na sta³e;praca;zagraniczny;ma³e miasto
26.01.2019 14:41;mê¿czyzna;26 - 40 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 14:47;mê¿czyzna;19 - 25 lat;tak, na sta³e;chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 14:51;kobieta;26 - 40 lat;nie;;;
26.01.2019 14:52;kobieta;26 - 40 lat;tak, na sta³e;praca;zagraniczny;du¿e miasto
26.01.2019 14:57;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 15:00;kobieta;26 - 40 lat;tak, ale tymczasowo;praca;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 15:24;kobieta;26 - 40 lat;nie;;;
26.01.2019 15:30;kobieta;26 - 40 lat;tak, ale tymczasowo;praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 15:36;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
26.01.2019 15:55;mê¿czyzna;19 - 25 lat;tak, na sta³e;praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
26.01.2019 16:04;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 16:22;kobieta;do 18 lat;nie;;;
26.01.2019 16:39;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 16:45;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, powody rodzinne, powody zdrowotne, chêæ poznania czegoœ nowego;zagraniczny;wieœ
26.01.2019 17:07;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 17:19;mê¿czyzna;do 18 lat;tak, na sta³e;chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
26.01.2019 17:37;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 17:40;mê¿czyzna;powy¿ej 55 lat;tak, ale tymczasowo;praca, powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 17:53;kobieta;41 - 55 lat;nie;;;
26.01.2019 18:08;kobieta;26 - 40 lat;nie;;;
26.01.2019 18:17;kobieta;26 - 40 lat;tak, na sta³e;praca, powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
26.01.2019 18:36;kobieta;do 18 lat;tak, na sta³e;chêæ poznania czegoœ nowego;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 18:56;kobieta;26 - 40 lat;nie;;;
26.01.2019 19:33;kobieta;26 - 40 lat;nie;;;
26.01.2019 19:34;kobieta;19 - 25 lat;tak, na sta³e;praca;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 19:39;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 19:44;kobieta;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;lokalny (w obrêbie województwa lubleskiego);du¿e miasto
26.01.2019 19:57;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 20:30;kobieta;26 - 40 lat;nie;;;
26.01.2019 20:32;kobieta;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 20:42;mê¿czyzna;do 18 lat;nie;;;
26.01.2019 20:48;kobieta;26 - 40 lat;nie;;;
26.01.2019 20:49;kobieta;41 - 55 lat;nie;;;
26.01.2019 20:51;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 20:54;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 20:54;mê¿czyzna;26 - 40 lat;nie;;;
26.01.2019 20:57;kobieta;powy¿ej 55 lat;nie;;;
26.01.2019 21:21;mê¿czyzna;powy¿ej 55 lat;tak, ale tymczasowo;praca;zagraniczny;ma³e miasto
26.01.2019 21:22;kobieta;powy¿ej 55 lat;tak, ale tymczasowo;praca, Zarobki;zagraniczny;ma³e miasto
26.01.2019 21:32;kobieta;26 - 40 lat;nie;;;
26.01.2019 21:52;kobieta;do 18 lat;tak, na sta³e;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 22:38;kobieta;26 - 40 lat;nie;;;
26.01.2019 22:44;kobieta;26 - 40 lat;tak, na sta³e;praca;krajowy (w obrêbie Polski);ma³e miasto
26.01.2019 22:50;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne, powody zdrowotne;lokalny (w obrêbie województwa lubleskiego);wieœ
26.01.2019 22:56;mê¿czyzna;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd., chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 23:14;mê¿czyzna;41 - 55 lat;nie;;;
26.01.2019 23:36;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
26.01.2019 23:42;kobieta;41 - 55 lat;nie;;;
27.01.2019 00:59;kobieta;26 - 40 lat;nie;;;
27.01.2019 01:09;kobieta;19 - 25 lat;tak, ale tymczasowo;praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
27.01.2019 02:13;mê¿czyzna;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 07:35;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 07:49;kobieta;26 - 40 lat;nie;;;
27.01.2019 07:51;kobieta;19 - 25 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
27.01.2019 09:00;mê¿czyzna;26 - 40 lat;tak, ale tymczasowo;praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 09:19;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd., praca;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 09:25;kobieta;19 - 25 lat;tak, na sta³e;praca;zagraniczny;ma³e miasto
27.01.2019 11:04;mê¿czyzna;do 18 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 12:00;kobieta;26 - 40 lat;nie;;;
27.01.2019 12:11;mê¿czyzna;26 - 40 lat;nie;;;
27.01.2019 12:30;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
27.01.2019 12:59;kobieta;19 - 25 lat;nie;;;
27.01.2019 13:50;mê¿czyzna;do 18 lat;tak, na sta³e;powody rodzinne;zagraniczny;du¿e miasto
27.01.2019 14:17;kobieta;26 - 40 lat;nie;;;
27.01.2019 14:51;mê¿czyzna;do 18 lat;nie;;;
27.01.2019 17:37;kobieta;41 - 55 lat;nie;;;
27.01.2019 18:04;mê¿czyzna;26 - 40 lat;tak, na sta³e;praca, powody rodzinne;lokalny (w obrêbie województwa lubleskiego);ma³e miasto
27.01.2019 19:25;mê¿czyzna;do 18 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
27.01.2019 19:58;kobieta;26 - 40 lat;tak, na sta³e;powody rodzinne;lokalny (w obrêbie województwa lubleskiego);wieœ
27.01.2019 20:06;kobieta;26 - 40 lat;tak, ale tymczasowo;powody rodzinne, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 21:23;kobieta;41 - 55 lat;nie;;;
27.01.2019 22:16;mê¿czyzna;19 - 25 lat;tak, na sta³e;edukacja, szko³a itd., praca, chêæ poznania czegoœ nowego;krajowy (w obrêbie Polski);du¿e miasto
27.01.2019 23:24;kobieta;26 - 40 lat;nie;;;
27.01.2019 23:50;kobieta;do 18 lat;tak, na sta³e;praca, chêæ poznania czegoœ nowego;zagraniczny;du¿e miasto
28.01.2019 08:17;mê¿czyzna;26 - 40 lat;nie;;;
28.01.2019 13:59;mê¿czyzna;19 - 25 lat;tak, ale tymczasowo;edukacja, szko³a itd.;krajowy (w obrêbie Polski);du¿e miasto
28.01.2019 17:57;mê¿czyzna;do 18 lat;nie;;;
